split_id,protocol,seed,fold,model_id,mcc,f1,balanced_accuracy,youden_j
extrapolation_grouped__seed-44__fold-2,extrapolation_grouped,44,2,xgb_all_unweighted,0.854842483997345,0.17637504637241364,0.854842483997345,0.854842483997345
extrapolation_grouped__seed-44__fold-3,extrapolation_grouped,44,3,xgb_all_unweighted,0.46088284254074097,0.23235921561717987,0.8342071771621704,0.8342071771621704
extrapolation_grouped__seed-44__fold-4,extrapolation_grouped,44,4,xgb_all_unweighted,0.7768594026565552,0.2743692100048065,0.8002241849899292,0.8002241849899292
lopo__seed-42__fold-0,lopo,42,0,xgb_all_unweighted,0.9401229619979858,0.033926911652088165,0.9474353790283203,0.9474353790283203
lopo__seed-42__fold-1,lopo,42,1,xgb_all_unweighted,0.9630889892578125,0.001547776279039681,0.9633098244667053,0.9633098244667053
lopo__seed-42__fold-2,lopo,42,2,xgb_all_unweighted,0.8790525794029236,0.1671878695487976,0.9024404287338257,0.9024404287338257
lopo__seed-42__fold-3,lopo,42,3,xgb_all_unweighted,0.9381192326545715,0.007960157468914986,0.9381192326545715,0.9381192326545715
lopo__seed-42__fold-4,lopo,42,4,xgb_all_unweighted,0.7392702698707581,0.1384022980928421,0.9161804914474487,0.9161804914474487
lopo__seed-42__fold-5,lopo,42,5,xgb_all_unweighted,0.9416264295578003,0.20472665131092072,0.9416264295578003,0.9416264295578003
lopo__seed-42__fold-6,lopo,42,6,xgb_all_unweighted,0.9548919200897217,0.07437402009963989,0.9548919200897217,0.9548919200897217
lopo__seed-42__fold-7,lopo,42,7,xgb_all_unweighted,0.9257044792175293,0.17293843626976013,0.9257044792175293,0.9257044792175293
lopo__seed-42__fold-8,lopo,42,8,xgb_all_unweighted,0.7412434220314026,0.2903810739517212,0.8786237835884094,0.8786237835884094
lopo__seed-42__fold-9,lopo,42,9,xgb_all_unweighted,0.9228131771087646,0.040829792618751526,0.9228131771087646,0.9228131771087646
lopo__seed-42__fold-10,lopo,42,10,xgb_all_unweighted,0.8898579478263855,0.13114678859710693,0.8898579478263855,0.8898579478263855
lopo__seed-42__fold-11,lopo,42,11,xgb_all_unweighted,0.821302592754364,0.23383818566799164,0.8826830983161926,0.8826830983161926
