model_id,model_family,feature_set,protocol,fold_count,sample_count,paper_count_sum,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std,mcc_at_mcc_mean,mcc_at_mcc_std,f1_at_mcc_mean,f1_at_mcc_std,balanced_accuracy_at_mcc_mean,balanced_accuracy_at_mcc_std,sensitivity_at_mcc_mean,sensitivity_at_mcc_std,specificity_at_mcc_mean,specificity_at_mcc_std,precision_at_mcc_mean,precision_at_mcc_std,mcc_at_f1_mean,mcc_at_f1_std,f1_at_f1_mean,f1_at_f1_std,balanced_accuracy_at_f1_mean,balanced_accuracy_at_f1_std,sensitivity_at_f1_mean,sensitivity_at_f1_std,specificity_at_f1_mean,specificity_at_f1_std,precision_at_f1_mean,precision_at_f1_std,mcc_at_balanced_accuracy_mean,mcc_at_balanced_accuracy_std,f1_at_balanced_accuracy_mean,f1_at_balanced_accuracy_std,balanced_accuracy_at_balanced_accuracy_mean,balanced_accuracy_at_balanced_accuracy_std,sensitivity_at_balanced_accuracy_mean,sensitivity_at_balanced_accuracy_std,specificity_at_balanced_accuracy_mean,specificity_at_balanced_accuracy_std,precision_at_balanced_accuracy_mean,precision_at_balanced_accuracy_std,mcc_at_youden_j_mean,mcc_at_youden_j_std,f1_at_youden_j_mean,f1_at_youden_j_std,balanced_accuracy_at_youden_j_mean,balanced_accuracy_at_youden_j_std,sensitivity_at_youden_j_mean,sensitivity_at_youden_j_std,specificity_at_youden_j_mean,specificity_at_youden_j_std,precision_at_youden_j_mean,precision_at_youden_j_std
svm_all,svm,all,extrapolation_grouped,15,13497,255,0.6429435556040974,0.07844504704769796,0.8590345971254826,0.0321636205037336,0.20311237729038956,0.010050024288510026,0.14507012282704262,0.10742909536913102,0.7373422999432565,0.10198503223614905,0.5721625075110813,0.062058709541154965,0.710619736240166,0.2006761356520409,0.4337052787819966,0.2907648785652583,0.809105034361952,0.0545249726519277,0.049610169229706576,0.0649813979729998,0.853291521311811,0.02208755290162895,0.5139976865853616,0.020583139782169625,0.9746821553958287,0.05654271596450242,0.05331321777489469,0.09254108804433861,0.7608205806912453,0.023468789479793906,0.17342920596838138,0.11532499605234532,0.6332486087223851,0.1928876858645963,0.5888426718907064,0.06580293005829238,0.5589084099594399,0.24102455303613526,0.6187769338219729,0.30367175583808975,0.8554365880587435,0.08450768038963988,0.17342920596838138,0.11532499605234532,0.6332486087223851,0.1928876858645963,0.5888426718907064,0.06580293005829238,0.5589084099594399,0.24102455303613526,0.6187769338219729,0.30367175583808975,0.8554365880587435,0.08450768038963988
svm_all,svm,all,interpolation_holdout,3,2700,245,0.8736397017173245,0.006034447725960191,0.9573988943735673,0.001375217257701754,0.15112588874800667,0.0055062419495994965,0.5338183189352583,0.01485894188081506,0.8402195736756627,0.0071420434276970365,0.8017668605903902,0.010362417326261867,0.7619047619047619,0.017570476355594777,0.8416289592760181,0.03416214676593098,0.9368783352317785,0.0116770189879955,0.4548468829893251,0.014418637024457845,0.8736030981036098,0.004312331837261199,0.7170013128169587,0.015352570561945025,0.8910162002945509,0.019145802650957285,0.5429864253393665,0.04894413496104963,0.8571765492684995,0.010742163925060548,0.5429352461033599,0.006768366742200373,0.8290123931321958,0.016251811921149807,0.8106455905121764,0.0030526426525544817,0.7344133529700541,0.031598497872860294,0.8868778280542987,0.03262942330736643,0.9526727845437959,0.011487986301785182,0.5429352461033599,0.006768366742200373,0.8290123931321958,0.016251811921149807,0.8106455905121764,0.0030526426525544817,0.7344133529700541,0.031598497872860294,0.8868778280542987,0.03262942330736643,0.9526727845437959,0.011487986301785182
svm_all,svm,all,interpolation_stratified,15,13497,1217,0.8645304803512783,0.011534965246371803,0.9523406667121908,0.005805542197111389,0.173236137780339,0.003351138869573837,0.5237190933548502,0.01913280183237162,0.8144908404667546,0.015442819807105707,0.8012192428172616,0.011443860422025465,0.7119407480779617,0.027694351146990096,0.8904977375565613,0.0355550331243917,0.9528504745826557,0.013602189945633898,0.35099222043213296,0.06298321303571733,0.8752813504072708,0.005729594901121956,0.6251954306691154,0.039538807138902884,0.957178191654973,0.018607896320588,0.29321266968325793,0.09534835051943864,0.8068887013500028,0.018948292479398728,0.5216148701178409,0.02072302042575837,0.8095276565441555,0.015413148580770832,0.8007260310452915,0.012060483898725417,0.7028095281539309,0.026172614938880227,0.8986425339366517,0.03180322785666168,0.9555677545347144,0.012451889212598249,0.5216148701178409,0.02072302042575837,0.8095276565441555,0.015413148580770832,0.8007260310452915,0.012060483898725417,0.7028095281539309,0.026172614938880227,0.8986425339366517,0.03180322785666168,0.9555677545347144,0.012451889212598249
svm_all,svm,all,lopo,85,4499,85,0.6585363443773579,0.2199770836844619,0.8184356836953001,0.1827604774433402,0.16865997399845195,0.07371496350694205,0.01731270962425719,0.06655272765851397,0.709407163353654,0.35291876995722665,0.6466264582664446,0.2868866640833855,0.7289742730456924,0.3877917691238992,0.35749039513308517,0.4331008404157185,0.8757430143429754,0.18089911264905625,-0.002365429912681295,0.01326495876126803,0.8956984749717107,0.16210508753457892,0.734352712421678,0.25198867197097297,0.9802572455716472,0.12157557153345468,0.03373544973544973,0.16216003416575422,0.8537858271969527,0.18792078469415668,0.018775066302055863,0.08156604244321691,0.7282783795541224,0.3393195899551856,0.6733170240712466,0.2727091134426698,0.7429716390641853,0.3734666467783866,0.3769358495415026,0.4339538576935179,0.8772871916785036,0.18203205901991243,0.018775066302055863,0.08156604244321691,0.7282783795541224,0.3393195899551856,0.6733170240712466,0.2727091134426698,0.7429716390641853,0.3734666467783866,0.3769358495415026,0.4339538576935179,0.8772871916785036,0.18203205901991243
svm_physics,svm,physics,extrapolation_grouped,15,13497,255,0.6995370503918884,0.06310794899108388,0.8790175771873637,0.027525373216109462,0.19914709311943227,0.010099253019486528,0.18879166749098772,0.1228594719383506,0.762712503553035,0.08014758214504572,0.5999745524021706,0.06926271895097391,0.7368994907538303,0.15584677340780476,0.46304961405051065,0.24496222169461374,0.8168616462801507,0.04543082528733463,0.009154601468781269,0.061533807655154364,0.8536645358337683,0.012963152352454625,0.5007226775372557,0.011805370117331189,0.9822683176002563,0.02396561256791677,0.019177037474255136,0.023393630249241317,0.7553713674593472,0.01977106637340997,0.22203442756836786,0.10573469995191828,0.6957528541412018,0.07872027345031446,0.6246475128772159,0.06174126163431436,0.6038844584408156,0.13722502805671594,0.6454105673136161,0.2366715263498514,0.856351945816639,0.056074734538401304,0.22203442756836786,0.10573469995191828,0.6957528541412018,0.07872027345031446,0.6246475128772159,0.06174126163431436,0.6038844584408156,0.13722502805671594,0.6454105673136161,0.2366715263498514,0.856351945816639,0.056074734538401304
svm_physics,svm,physics,interpolation_holdout,3,2700,245,0.8404005535600442,0.007283074852518747,0.9428522812887499,0.006907347081490183,0.16758930154475493,0.007861529473386732,0.437842856673409,0.015970574926831935,0.8300176120895878,0.022375685100495583,0.7392048016669,0.01619452736137943,0.7800687285223367,0.05318933031234895,0.6983408748114629,0.08161538014159084,0.8894326646027574,0.020742736291800113,0.390786546579551,0.022810216523852254,0.8666617524202663,0.006087632690478117,0.675135557791713,0.02642541007933324,0.9023073146784487,0.03200770409956413,0.44796380090497734,0.08477372848504611,0.8345550130779181,0.016807168098660813,0.4564612399650964,0.002497605379927653,0.8083810355738136,0.028697775776315108,0.7582073273401351,0.007995928723677905,0.7260677466863034,0.06138045945265007,0.7903469079939668,0.07710031927078169,0.9156212780998084,0.02109576820392868,0.4564612399650964,0.002497605379927653,0.8083810355738136,0.028697775776315108,0.7582073273401351,0.007995928723677905,0.7260677466863034,0.06138045945265007,0.7903469079939668,0.07710031927078169,0.9156212780998084,0.02109576820392868
svm_physics,svm,physics,interpolation_stratified,15,13497,1217,0.8444945699267172,0.013206498835415026,0.943805851082071,0.007020242401522721,0.18225793153259875,0.003350576198831647,0.4754148279756209,0.027991254606761943,0.8191921472075292,0.021796794942482843,0.7685046382575591,0.016502485108161564,0.7406291860173806,0.04145229646243717,0.7963800904977376,0.05340242935312964,0.9187164846979035,0.016419956256680055,0.33825529405131133,0.05072497285592697,0.8735052190314659,0.004681797044126515,0.6192180862482518,0.031485538343627724,0.9566865495704104,0.016210739215843237,0.2817496229260935,0.07687489777307381,0.8040105034688305,0.014226847620648436,0.4823277729974302,0.02813514068347455,0.8058311930750874,0.01816468874197648,0.7765603575802302,0.016035359691044856,0.7096818011333108,0.030764324362386318,0.8434389140271494,0.038158048216416475,0.9334240775394406,0.01376867213541949,0.4823277729974302,0.02813514068347455,0.8058311930750874,0.01816468874197648,0.7765603575802302,0.016035359691044856,0.7096818011333108,0.030764324362386318,0.8434389140271494,0.038158048216416475,0.9334240775394406,0.01376867213541949
svm_physics,svm,physics,lopo,85,4499,85,0.674811259750213,0.21192262685380514,0.8290821635348984,0.15893031627540888,0.16317293749191822,0.0843878406380391,0.025690061721264597,0.14670698386372497,0.7348890747032034,0.3262726239543894,0.683983935179968,0.2568988276056745,0.7355938515124176,0.3541233429389374,0.4221515082237132,0.41808563474464355,0.8854393969177299,0.1742180185363195,0.0028050803303941666,0.037584319102407,0.8999611328630913,0.14037383438746415,0.7359025734763044,0.25080310038216624,0.9858005894186392,0.07176993360964945,0.02911971978638645,0.09718574282243611,0.8481258458655134,0.19496108231879616,0.0272687549605236,0.15611411842830372,0.7307294818015246,0.3337907306275157,0.6792740926260433,0.26195839136593124,0.7318003755411491,0.35920490711103237,0.420922372447209,0.41798295833680726,0.8826103829276749,0.1762387574194422,0.0272687549605236,0.15611411842830372,0.7307294818015246,0.3337907306275157,0.6792740926260433,0.26195839136593124,0.7318003755411491,0.35920490711103237,0.420922372447209,0.41798295833680726,0.8826103829276749,0.1762387574194422
xgb_all_class_paper_weighted,xgboost,all,extrapolation_grouped,15,13497,255,0.6982712665142042,0.04821463322381334,0.867179270926917,0.031786883154539744,0.1895871341228485,0.00924644643467342,0.2652796207067271,0.07126482293604956,0.7490033725301266,0.08027532452789704,0.6433777626211137,0.038432003584158825,0.6849670170985386,0.1379007513315284,0.601788508143689,0.16238055188887088,0.84847896646916,0.028873112155257726,0.08623421155503384,0.08202462880310235,0.8589617190169815,0.01184830353704611,0.5192074854280092,0.02786030837486446,0.9847304413284206,0.02522176458084399,0.05368452952759773,0.0802089941597129,0.7626184849766617,0.025486978260408095,0.27296499698096394,0.07244859102217167,0.7224625237602709,0.0745271246352046,0.6522351713831291,0.0409340784860194,0.6332485267598318,0.12424140986478176,0.6712218160064265,0.15471772291820382,0.8636847742479422,0.036759114434999185,0.27296499698096394,0.07244859102217167,0.7224625237602709,0.0745271246352046,0.6522351713831291,0.0409340784860194,0.6332485267598318,0.12424140986478176,0.6712218160064265,0.15471772291820382,0.8636847742479422,0.036759114434999185
xgb_all_class_paper_weighted,xgboost,all,interpolation_holdout,3,2700,245,0.9115070294573023,0.004876178583841109,0.971303373480337,0.0024285912757811123,0.11808530986309052,0.01038614752619504,0.6108490403111752,0.03970725821235181,0.8732029203984512,0.013652348953682732,0.8406948822352097,0.020956581144794154,0.8065783014236624,0.01588482050796605,0.8748114630467572,0.026124446569666296,0.9518525783357011,0.010395735414699831,0.4962588573036233,0.09291667526553368,0.8890361728848699,0.009342769632567593,0.7259233590343355,0.068241970000847,0.9224349533627884,0.02818827141866583,0.5294117647058824,0.16308435557411854,0.8595283022501592,0.03887328841654969,0.6069124570599603,0.03618555223285041,0.8524842723874073,0.024854392026716767,0.8460338933352881,0.016045496907511992,0.759941089837997,0.04099973757606793,0.9321266968325791,0.009049773755656076,0.9718312856858063,0.0022214508659299833,0.6069124570599603,0.03618555223285041,0.8524842723874073,0.024854392026716767,0.8460338933352881,0.016045496907511992,0.759941089837997,0.04099973757606793,0.9321266968325791,0.009049773755656076,0.9718312856858063,0.0022214508659299833
xgb_all_class_paper_weighted,xgboost,all,interpolation_stratified,15,13497,1217,0.9133801819006583,0.006689507248805675,0.971503884392314,0.003189647808740609,0.11280158410469691,0.004239151473410699,0.6127231477991647,0.016472721185431787,0.8685713798091242,0.01067904458222603,0.8438252563300194,0.01107986467354897,0.7947395021019692,0.025528699148716825,0.8929110105580695,0.04049590180000603,0.9585221604542492,0.0140642154372243,0.5191370396463408,0.028116087024325602,0.8954258924679704,0.006024882839293906,0.726418080536962,0.027361121243575117,0.9391106708778454,0.025350378796224496,0.5137254901960784,0.07652023240383743,0.8564107632117984,0.016867345367711343,0.6108517620761346,0.018194319189382396,0.8580234671663405,0.009013192888252785,0.8475899954605205,0.010110431052214285,0.7696897948426095,0.015669429620228215,0.9254901960784315,0.02135184116945569,0.9695717474111103,0.008336784756991419,0.6108517620761346,0.018194319189382396,0.8580234671663405,0.009013192888252785,0.8475899954605205,0.010110431052214285,0.7696897948426095,0.015669429620228215,0.9254901960784315,0.02135184116945569,0.9695717474111103,0.008336784756991419
xgb_all_class_paper_weighted,xgboost,all,lopo,85,4499,85,0.7573813400018834,0.19316424880345198,0.8537352725785505,0.16236903473354924,0.13323460914203572,0.14269554066574547,0.10790708923561212,0.21633713220444967,0.7778520448586692,0.2774953811922356,0.7279263543382757,0.23445111177166897,0.774291798099348,0.3048787112949027,0.5250295865566307,0.41911084667231546,0.8973360426520272,0.1734451523009871,0.026641671839904964,0.11646662464027963,0.9035632659222625,0.12941754337376202,0.7431093761633397,0.24465334573771372,0.9939109839704683,0.031118440106727593,0.045470229117287944,0.13910753559739245,0.8515550578896726,0.19281924860662739,0.09676690516220603,0.20518554849283072,0.7129399384422421,0.338901283100477,0.7031443928211967,0.25205705247557175,0.6976273319903821,0.36421684884094496,0.6119333562210755,0.4212682938800766,0.9084664784695283,0.16512286000070284,0.09676690516220603,0.20518554849283072,0.7129399384422421,0.338901283100477,0.7031443928211967,0.25205705247557175,0.6976273319903821,0.36421684884094496,0.6119333562210755,0.4212682938800766,0.9084664784695283,0.16512286000070284
xgb_all_focal_class_paper_weighted,xgboost,all,extrapolation_grouped,15,13497,255,0.4923010188813154,0.02607006963615758,0.7523533301082664,0.01925283523355524,0.7397549033164978,0.050813542595575294,-0.029289780293904794,0.05868508456891422,0.2726947395383263,0.383061625788784,0.49050756849592353,0.02063488430337136,0.29821191824090826,0.44777325455753914,0.6828032187509389,0.4427025584478378,0.6590890729008761,0.1261074315250203,0.0,0.0,0.8602804370144486,0.013601066997842129,0.5,0.0,1.0,0.0,0.0,0.0,0.7550498562267316,0.020848537134136834,-0.033469129754216335,0.05868246470230675,0.2726947395383263,0.383061625788784,0.4903392183275734,0.0205620810914601,0.29821191824090826,0.44777325455753914,0.6824665184142386,0.44244592670345984,0.5858569536896677,0.24936256396578416,-0.033469129754216335,0.05868246470230675,0.2726947395383263,0.383061625788784,0.4903392183275734,0.0205620810914601,0.29821191824090826,0.44777325455753914,0.6824665184142386,0.44244592670345984,0.5858569536896677,0.24936256396578416
xgb_all_focal_class_paper_weighted,xgboost,all,interpolation_holdout,3,2700,245,0.479309249472985,0.021241785376590404,0.7491810350757809,0.0048172685678209625,0.7558962901433309,0.0025917966953894144,-0.07683488443610141,0.07373394141626172,0.3045089559809229,0.48143927684430915,0.48581002583428295,0.017303600977228974,0.3426607756504663,0.5693529505861213,0.6289592760180995,0.5457508813438812,0.5246296296296297,0.20203160531789355,0.0,0.0,0.8600379987333756,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.7544444444444446,1.3597399555105182e-16,-0.07462569544264937,0.07353396492857424,0.31301001601784256,0.473769321296112,0.48424841784453676,0.016819610288949537,0.34707903780068733,0.5654538117100505,0.6214177978883861,0.5386389557772134,0.5814478114478114,0.15810324600604034,-0.07462569544264937,0.07353396492857424,0.31301001601784256,0.473769321296112,0.48424841784453676,0.016819610288949537,0.34707903780068733,0.5654538117100505,0.6214177978883861,0.5386389557772134,0.5814478114478114,0.15810324600604034
