split_id,protocol,seed,fold,model_id,model_family,feature_set,n_test_rows,n_test_papers,roc_auc,pr_auc,brier,mcc_at_mcc,f1_at_mcc,balanced_accuracy_at_mcc,sensitivity_at_mcc,specificity_at_mcc,precision_at_mcc,mcc_at_f1,f1_at_f1,balanced_accuracy_at_f1,sensitivity_at_f1,specificity_at_f1,precision_at_f1,mcc_at_balanced_accuracy,f1_at_balanced_accuracy,balanced_accuracy_at_balanced_accuracy,sensitivity_at_balanced_accuracy,specificity_at_balanced_accuracy,precision_at_balanced_accuracy,mcc_at_youden_j,f1_at_youden_j,balanced_accuracy_at_youden_j,sensitivity_at_youden_j,specificity_at_youden_j,precision_at_youden_j
interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,mlp_all,mlp,all,900,80,0.8693680485675634,0.956369201602717,0.16081559658050537,0.5467101839236258,0.8173322005097706,0.8157358105811714,0.7083946980854198,0.9230769230769231,0.9658634538152611,0.34376841669692204,0.8758344459279038,0.6142850478811668,0.9661266568483063,0.26244343891402716,0.800976800976801,0.5319163689334535,0.7975673327541268,0.8085852897860175,0.6759941089837997,0.9411764705882353,0.972457627118644,0.5319163689334535,0.7975673327541268,0.8085852897860175,0.6759941089837997,0.9411764705882353,0.972457627118644
interpolation_stratified__seed-42__fold-0,interpolation_stratified,42,0,mlp_all,mlp,all,900,81,0.8718370774162164,0.9568255666267709,0.15047095715999603,0.5623915927450718,0.8282828282828283,0.8238359578565764,0.7245949926362297,0.9230769230769231,0.9666011787819253,0.30173395854591395,0.867518493611298,0.6061849006057617,0.9499263622974963,0.26244343891402716,0.7982673267326733,0.5623915927450718,0.8282828282828283,0.8238359578565764,0.7245949926362297,0.9230769230769231,0.9666011787819253,0.5623915927450718,0.8282828282828283,0.8238359578565764,0.7245949926362297,0.9230769230769231,0.9666011787819253
interpolation_stratified__seed-42__fold-1,interpolation_stratified,42,1,mlp_all,mlp,all,900,79,0.8580391712593047,0.95110899301173,0.15326331555843353,0.5268511276147435,0.8151898734177215,0.8036339039977609,0.711340206185567,0.8959276018099548,0.9545454545454546,0.3974992829609829,0.8740431454418929,0.6683271246642988,0.9248895434462445,0.4117647058823529,0.8284960422163589,0.5268511276147435,0.8151898734177215,0.8036339039977609,0.711340206185567,0.8959276018099548,0.9545454545454546,0.5268511276147435,0.8151898734177215,0.8036339039977609,0.711340206185567,0.8959276018099548,0.9545454545454546
interpolation_stratified__seed-42__fold-2,interpolation_stratified,42,2,mlp_all,mlp,all,900,79,0.8553502289099622,0.9442884202552275,0.15640327334403992,0.5273726839250639,0.8174936921783011,0.8035805916339573,0.7157584683357879,0.8914027149321267,0.9529411764705882,0.2119133200046126,0.8660194174757282,0.5469348722835685,0.9852724594992637,0.1085972850678733,0.7725173210161663,0.5273726839250639,0.8174936921783011,0.8035805916339573,0.7157584683357879,0.8914027149321267,0.9529411764705882,0.5273726839250639,0.8174936921783011,0.8035805916339573,0.7157584683357879,0.8914027149321267,0.9529411764705882
interpolation_stratified__seed-42__fold-3,interpolation_stratified,42,3,mlp_all,mlp,all,900,81,0.88387567556761,0.9566093913844382,0.14549730718135834,0.567384152447348,0.8334728033472804,0.8259917765678833,0.7334315169366715,0.918552036199095,0.9651162790697675,0.4440209453095153,0.8887381275440976,0.6655848699511525,0.9646539027982327,0.3665158371040724,0.8238993710691824,0.5682039798212051,0.8322147651006712,0.8267814659567236,0.7304860088365243,0.9230769230769231,0.9668615984405458,0.5682039798212051,0.8322147651006712,0.8267814659567236,0.7304860088365243,0.9230769230769231,0.9668615984405458
interpolation_stratified__seed-42__fold-4,interpolation_stratified,42,4,mlp_all,mlp,all,899,80,0.8708538554972702,0.9530991527973605,0.14850036799907684,0.5270748987476076,0.8438003220611916,0.7959329409095156,0.7728613569321534,0.8190045248868778,0.9290780141843972,0.39120218811874974,0.8771448181194235,0.6544968566051336,0.9424778761061947,0.3665158371040724,0.8202824133504493,0.5371893766338692,0.8311258278145696,0.8068580733859234,0.7404129793510325,0.8733031674208145,0.9471698113207547,0.5371893766338692,0.8311258278145696,0.8068580733859234,0.7404129793510325,0.8733031674208145,0.9471698113207547
extrapolation_grouped__seed-42__fold-0,extrapolation_grouped,42,0,mlp_all,mlp,all,837,17,0.7830368161250515,0.9231072707141282,0.1889694631099701,0.36856721544340676,0.7412322274881517,0.7087728448022566,0.6347402597402597,0.7828054298642534,0.8906605922551253,-0.03592389206004617,0.8455172413793104,0.49756493506493504,0.9951298701298701,0.0,0.7350119904076738,0.36856721544340676,0.7412322274881517,0.7087728448022566,0.6347402597402597,0.7828054298642534,0.8906605922551253,0.36856721544340676,0.7412322274881517,0.7087728448022566,0.6347402597402597,0.7828054298642534,0.8906605922551253
extrapolation_grouped__seed-42__fold-1,extrapolation_grouped,42,1,mlp_all,mlp,all,874,20,0.7076850542197077,0.8865824043561817,0.2910219132900238,0.17039917171842583,0.5058201058201058,0.5936689651107968,0.3556547619047619,0.8316831683168316,0.8754578754578755,0.23821770090740338,0.8006182380216383,0.6279909240924093,0.7708333333333334,0.48514851485148514,0.8327974276527331,0.27867355794975707,0.6861848124428179,0.6651564710042432,0.5580357142857143,0.7722772277227723,0.8907363420427553,0.27867355794975707,0.6861848124428179,0.6651564710042432,0.5580357142857143,0.7722772277227723,0.8907363420427553
extrapolation_grouped__seed-42__fold-2,extrapolation_grouped,42,2,mlp_all,mlp,all,1020,13,0.7298310810810811,0.8827484224151921,0.24282951653003693,0.23377568344476313,0.6927899686520376,0.6307915057915058,0.5972972972972973,0.6642857142857143,0.8246268656716418,0.0,0.8409090909090909,0.5,1.0,0.0,0.7254901960784313,0.23377568344476313,0.6927899686520376,0.6307915057915058,0.5972972972972973,0.6642857142857143,0.8246268656716418,0.23377568344476313,0.6927899686520376,0.6307915057915058,0.5972972972972973,0.6642857142857143,0.8246268656716418
extrapolation_grouped__seed-42__fold-3,extrapolation_grouped,42,3,mlp_all,mlp,all,872,16,0.6055636651157134,0.8343245119311508,0.2082345187664032,0.15121261617294515,0.6835222319093287,0.5906319374752912,0.5781710914454278,0.6030927835051546,0.835820895522388,0.0,0.8748387096774194,0.5,1.0,0.0,0.7775229357798165,0.15121261617294515,0.6835222319093287,0.5906319374752912,0.5781710914454278,0.6030927835051546,0.835820895522388,0.15121261617294515,0.6835222319093287,0.5906319374752912,0.5781710914454278,0.6030927835051546,0.835820895522388
