model_id,protocol,metric,estimate,ci_low,ci_high,confidence_level,iterations,resampling_unit,repeat_aggregation
svm_physics,interpolation_holdout,pr_auc,0.942170772402061,0.932851081773048,0.9513492307937248,0.95,2000,unique_row_id,mean probability per row_id before resampling
svm_physics,interpolation_holdout,brier,0.16676644430201917,0.15780465449841638,0.17575969678890016,0.95,2000,unique_row_id,mean probability per row_id before resampling
svm_physics,interpolation_stratified,roc_auc,0.8487885195327395,0.8371236975531763,0.8605312700315101,0.95,2000,unique_row_id,mean probability per row_id before resampling
svm_physics,interpolation_stratified,pr_auc,0.9456091279287446,0.9391770215121235,0.9516176021665282,0.95,2000,unique_row_id,mean probability per row_id before resampling
svm_physics,interpolation_stratified,brier,0.18162330749604277,0.17880067601391353,0.18437895973874194,0.95,2000,unique_row_id,mean probability per row_id before resampling
svm_physics,lopo,roc_auc,0.7169460613219496,0.6533435520621801,0.7682498548190642,0.95,2000,canonical_paper,mean probability per row_id before resampling
svm_physics,lopo,pr_auc,0.8814115526633431,0.8288290848166581,0.9279162574567509,0.95,2000,canonical_paper,mean probability per row_id before resampling
svm_physics,lopo,brier,0.19397934950581755,0.17035147315234175,0.21185515418202766,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_all_class_paper_weighted,extrapolation_grouped,roc_auc,0.7005722102085927,0.6298556909299152,0.7687541220390484,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_all_class_paper_weighted,extrapolation_grouped,pr_auc,0.8589348120343837,0.7994565278572969,0.9200034194376439,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_all_class_paper_weighted,extrapolation_grouped,brier,0.18099366515612372,0.13986322368564288,0.21223299689080938,0.95,2000,canonical_paper,mean probability per row_id before resampling
xgb_all_class_paper_weighted,interpolation_holdout,roc_auc,0.9087914908814929,0.8963343103614467,0.9206760810101307,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_all_class_paper_weighted,interpolation_holdout,pr_auc,0.9696405150390072,0.9645512481379073,0.9747668384458802,0.95,2000,unique_row_id,mean probability per row_id before resampling
xgb_all_class_paper_weighted,interpolation_holdout,brier,0.11702435533163143,0.10740537224298097,0.12698321564294965,0.95,2000,unique_row_id,mean probability per row_id before resampling
