protocol,model_a,model_b,paired_fold_count,delta_roc_auc,wilcoxon_p_roc_auc,delta_pr_auc,wilcoxon_p_pr_auc,delta_brier,wilcoxon_p_brier,delta_mcc_at_mcc,wilcoxon_p_mcc_at_mcc,delta_f1_at_f1,wilcoxon_p_f1_at_f1,delta_balanced_accuracy_at_balanced_accuracy,wilcoxon_p_balanced_accuracy_at_balanced_accuracy,caveat
extrapolation_grouped,decision_tree_all,decision_tree_physics,15,-0.06040689538667876,0.083251953125,-0.02653305803241337,0.1688232421875,0.020500381247941894,0.33026123046875,-0.035914854648639,0.48870849609375,-0.0022327455173634324,1.0,-0.029339745340310395,0.359130859375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,xgb_all_unweighted,xgb_physics_paper_bagging,15,0.03938076326490864,6.103515625e-05,0.014164980966885824,6.103515625e-05,-0.018690153459707894,6.103515625e-05,0.07526983806881167,6.103515625e-05,0.01845132178253912,6.103515625e-05,0.04302346157479599,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,xgb_all_unweighted,xgb_physics_unweighted,15,0.016320341727534042,6.103515625e-05,0.0061877973034454746,6.103515625e-05,-0.007913307845592498,6.103515625e-05,0.03674922681357737,0.00018310546875,0.004998900181405659,0.012451171875,0.02045058212861711,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,xgb_physics_class_paper_weighted_monotone_o2,xgb_physics_focal_class_paper_weighted,15,0.4056800516542812,6.103515625e-05,0.2120546629734937,6.103515625e-05,-0.6254771287242572,6.103515625e-05,0.5885113043178395,6.103515625e-05,0.02934817860951624,6.103515625e-05,0.33211991844335387,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,xgb_physics_class_paper_weighted_monotone_o2,xgb_physics_paper_bagging,15,0.020169876086038773,6.103515625e-05,0.006977963713118008,6.103515625e-05,0.0019135509928067526,0.207763671875,0.035772884449363704,0.0001220703125,0.011009635683052391,0.00018310546875,0.018861098181093657,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,xgb_physics_class_paper_weighted_monotone_o2,xgb_physics_unweighted,15,-0.002890545451335824,0.0301513671875,-0.0009992199503223423,0.03533935546875,0.01269039660692215,6.103515625e-05,-0.0027477268058705945,0.803955078125,-0.0024427859180810698,0.0946044921875,-0.0037117812650852232,0.1322206524616296,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,xgb_physics_focal_class_paper_weighted,xgb_physics_paper_bagging,15,-0.3855101755682425,6.103515625e-05,-0.20507669926037572,6.103515625e-05,0.6273906797170639,6.103515625e-05,-0.5527384198684759,6.103515625e-05,-0.01833854292646385,6.103515625e-05,-0.31325882026226026,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,xgb_physics_focal_class_paper_weighted,xgb_physics_unweighted,15,-0.4085705971056171,6.103515625e-05,-0.21305388292381608,6.103515625e-05,0.6381675253311793,6.103515625e-05,-0.5912590311237101,6.103515625e-05,-0.03179096452759731,6.103515625e-05,-0.3358316997084391,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,xgb_physics_paper_bagging,xgb_physics_unweighted,15,-0.023060421537374597,6.103515625e-05,-0.00797718366344035,6.103515625e-05,0.010776845614115398,6.103515625e-05,-0.038520611255234295,0.00018310546875,-0.013452421601133462,0.0001220703125,-0.02257287944617888,6.103515625e-05,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,decision_tree_all,decision_tree_physics,85,-0.050444748401292504,0.09962183121844811,-0.03244850499236808,0.10853237525634826,0.01272731887898741,0.4950202487156131,-0.058410870184804016,0.012257626924598844,6.884398152239486e-05,1.0,-0.024750024381991285,0.07881358931709755,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,decision_tree_all,knn_all,85,-0.029827405526347543,0.4599651252545982,-0.04557582636505137,0.029249856040564737,0.00925809363965767,0.4059670691326127,0.028377409393535558,0.1751110121160112,-0.000262915896381238,0.7150006546880893,0.024835631231648,0.27429872787978027,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,decision_tree_all,knn_physics,85,-0.05913627149409294,0.0760847767339192,-0.03158234515610824,0.025813453616494723,0.017852300750579517,0.16200458260282224,-0.05680812032970947,0.012361866377903817,0.004053417718677059,0.5524933360016062,-0.014843531407763339,0.19161588841571764,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,decision_tree_all,mlp_all,85,-0.16803912427644568,5.215093597502334e-07,-0.10984074937507594,2.4499513529008254e-10,0.025889812932681746,0.03568004250976785,-0.043431393901295565,0.07690264605323578,-0.0005790409048372978,0.5001842570707944,-0.03050188564176034,0.22121462060223818,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,decision_tree_all,mlp_physics,85,-0.0965500037721111,0.0005758609275312764,-0.07274543338463711,1.2732527836739003e-05,0.022258864206349593,0.0660403713984148,-0.017615931254888008,0.4507846162481117,0.005669368879088824,0.27332167829229814,-0.0036712192228525683,0.6667084648549708,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,decision_tree_all,svm_all,85,-0.06397119012409506,0.057406772263391304,-0.065049136365087,0.0007173913954261479,0.012070124168008602,0.9563200784601912,0.04109559393019019,0.012222379999466314,0.0073829079828531515,0.32698934959801507,0.015051160245492485,0.17918901371589713,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,decision_tree_all,svm_physics,85,-0.08024610549695037,0.003944553736785285,-0.0756956162046853,4.643192030166667e-05,0.017557160674542334,0.503993906398392,0.03271824183318278,0.05531932313789742,0.003120250091472488,0.40081416938293446,0.00909409169069569,0.3756688924305508,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,decision_tree_all,xgb_all_class_paper_weighted,85,-0.1628161857486207,1.6605645145135686e-05,-0.10034872524833728,2.754650267888792e-07,0.04749548902442484,3.630606839007711e-05,-0.049498785681164746,0.023801290248932315,-0.00048188296769861226,0.6784023758521882,-0.01477620850445747,0.5510439403278479,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,decision_tree_all,xgb_all_focal_class_paper_weighted,85,0.09881718574667353,0.00041592972374180715,0.041708568816296795,0.0001108719603089186,-0.658930775667364,2.2594169257671638e-15,0.058408303554447386,0.002381067273510361,-0.0010909303866348168,0.28504940740261275,0.10366230196379786,0.014185830711211222,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,decision_tree_all,xgb_all_unweighted,85,-0.1840391592504794,3.794610046780756e-06,-0.10885284587886625,8.782592431089142e-08,0.05655538801107696,7.971824892795522e-07,-0.07300058784856242,0.0030918080776230596,0.008893626029166768,0.44126813332892967,-0.01964507648787314,0.09141411985655844,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,decision_tree_all,xgb_physics_class_paper_weighted_monotone_o2,85,-0.13921612620845455,8.394291385144683e-05,-0.07640459295295186,1.2069855240140955e-05,0.035929938308139994,0.010432917419346882,-0.05342155768140187,0.02280409432582948,0.004123550384782422,0.043114446783075355,-0.028854521563445513,0.31468337548802994,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,decision_tree_all,xgb_physics_focal_class_paper_weighted,85,0.10945488279070875,0.0004015800022850487,0.043912621356312465,0.00010046868883269846,-0.6631158011489808,2.348671505385272e-15,0.058408303554447386,0.002381067273510361,-0.0010909303866348168,0.28504940740261275,0.12954465490497435,0.0016411948824903708,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,decision_tree_all,xgb_physics_paper_bagging,85,-0.14011855618661884,7.021882159115822e-06,-0.09303400571906752,1.1360898612038808e-06,0.04632866214067704,0.00028794694346846473,-0.05417294761009055,0.07806482113717778,-0.0008744438778312631,0.5076243443095237,-0.02159609074878413,0.17440568705063364,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,decision_tree_all,xgb_physics_unweighted,85,-0.14162288413175675,4.643192030166667e-05,-0.07437962256210107,1.7498423954877576e-05,0.061457821091279556,1.4728259651858128e-07,-0.05307790764773824,0.034851369999683295,-0.00025477009628498023,0.7670968684102772,-0.050657294556485696,0.021688312042502676,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,decision_tree_physics,knn_all,85,0.020617342874944957,0.3212098124740337,-0.013127321372683295,0.483795196967833,-0.0034692252393297407,0.7853082792937138,0.08678827957833958,4.6468653947086094e-05,-0.0003317598779036329,0.5929800980174267,0.049585655613639285,0.010126870798054279,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,decision_tree_physics,knn_physics,85,-0.008691523092800444,0.740377435896263,0.00086615983625984,0.8657578368297295,0.0051249818715921,0.16845900865070118,0.001602749855094543,0.9111088680466222,0.003984573737154664,0.6378701798979456,0.009906492974227932,0.452870072398468,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,decision_tree_physics,mlp_all,85,-0.11759437587515319,2.806498216310027e-06,-0.07739224438270789,4.344835796399201e-07,0.013162494053694332,0.13685416634184946,0.01497947628350845,0.20411853941356273,-0.0006478848863596927,0.4652088184521418,-0.00575186125976906,0.3666143622920113,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,decision_tree_physics,mlp_physics,85,-0.046105255370818624,0.14177994862569565,-0.040296928392269026,0.0026413226835434577,0.009531545327362185,0.44711360811356216,0.040794938929916,0.06376093173548066,0.005600524897566427,0.28504940740261275,0.021078805159138705,0.04905439192118362,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
