n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,gamma,reg_lambda,reg_alpha,group_roc_auc,std
800,3,0.05,4,0.7,1.0,0.0,5.0,1.0,0.7049311112850091,0.05552746693942307
200,5,0.05,4,0.8,1.0,0.0,5.0,0.1,0.7047828613362995,0.06191479997005824
200,5,0.01,10,0.8,0.5,2.0,0.5,0.5,0.7046530034730182,0.035034867143410184
400,5,0.05,6,0.7,1.0,0.0,1.0,0.0,0.7044751567048155,0.04779355263525667
800,6,0.01,2,1.0,0.5,2.0,1.0,2.0,0.7037970020894138,0.04210508118632964
800,3,0.02,1,0.6,0.8,0.5,1.0,0.1,0.7016507064580632,0.0524829108948647
400,2,0.02,20,0.8,0.5,1.0,10.0,2.0,0.6998293540701103,0.04435423402104172
600,4,0.01,20,1.0,0.5,1.0,0.5,1.0,0.6990546738606868,0.049433300523879814
200,2,0.03,20,0.6,0.6,1.0,1.0,1.0,0.6988022968540865,0.04847209097551683
800,4,0.1,10,0.9,1.0,0.0,1.0,0.5,0.6979029963001819,0.03607783360632731
600,5,0.01,10,0.8,1.0,0.0,0.5,0.5,0.6971205131937483,0.0541570238498604
600,4,0.1,2,1.0,0.6,0.5,2.0,2.0,0.6967431994142613,0.052218807913459786
600,4,0.1,2,1.0,1.0,0.0,0.5,0.5,0.6948989730728601,0.055104084913168
200,3,0.01,4,0.9,0.8,0.5,10.0,0.5,0.6930897872200468,0.018918487250633664
400,2,0.05,4,0.7,0.5,0.5,5.0,2.0,0.6891580040265202,0.062941845285888
400,2,0.01,20,0.8,0.6,0.5,5.0,0.0,0.6870711395607676,0.038645660027370216
200,2,0.02,6,0.6,0.6,0.0,2.0,0.0,0.6869934154710521,0.04379930317973694
800,3,0.05,2,0.9,1.0,0.5,5.0,0.1,0.6868324827909965,0.06961877379589071
200,3,0.03,20,1.0,0.5,2.0,0.5,1.0,0.6864436421305491,0.05236355448404799
