method,seed,fold,n_test,n_test_papers,roc_auc,pr_auc,mcc,f1,balanced_accuracy,youden_j_balacc,thr_mcc,thr_f1,thr_balacc,thr_youden
knn,1,1,861,20,0.4824629561471666,0.7284900626059065,0.004289977504976934,0.842741935483871,0.48608555187502556,0.48608555187502556,0.6715215617751316,0.3496189855249424,0.7005426303785853,0.7005426303785853
knn,1,2,858,18,0.6722257498225824,0.8355355489042067,0.12277375535568913,0.8176881303335919,0.5711724498561984,0.5711724498561984,0.8792018473222616,0.5499984884391138,0.8792018473222616,0.8792018473222616
knn,1,3,979,13,0.5583659823434154,0.7617934145760075,0.1622089256969162,0.840047393364929,0.5830251266781591,0.5830251266781591,0.6529685812629408,0.3497438361325687,0.6529685812629408,0.6529685812629408
knn,1,4,874,18,0.7088214348003024,0.8801037297283381,0.059240492577687105,0.8620236530880421,0.6709348293703854,0.6709348293703854,0.40004220616278763,0.40004220616278763,0.6572446221923501,0.6572446221923501
knn,2,0,882,17,0.5836233961233962,0.7928660891738532,0.03585049835117451,0.8428761651131824,0.5227067977067977,0.5227067977067977,0.5639979613969379,0.5487226216287452,0.6012004703296021,0.6012004703296021
knn,2,1,852,21,0.7062624147550035,0.8795524160636116,0.1556976464080042,0.8509777478084963,0.5512222931352231,0.5512222931352231,0.557067203695509,0.19906434037921683,0.5829997888452911,0.5829997888452911
knn,2,2,977,11,0.5683273089213683,0.7507243266184526,0.10218213590820935,0.7934111187371311,0.534103410341034,0.534103410341034,0.6506936094032417,0.5370182578969671,0.6731967019151243,0.6731967019151243
knn,2,3,860,15,0.4838619558670933,0.7384550017912799,-0.030252547315771063,0.7853479853479853,0.43910863428899005,0.43910863428899005,0.5339443470229936,0.5339443470229936,0.899931813220112,0.899931813220112
knn,2,4,872,21,0.6766539878847194,0.8546183360208989,0.11143834742822009,0.8590604026845637,0.5604540635125417,0.5604540635125417,0.9191431869239891,0.49938405555993143,0.9191431869239891,0.9191431869239891
dt,0,0,863,17,0.4605961194603301,0.7429129102576176,-0.04818540244207617,0.8644736842105263,0.4738218734760828,0.4738218734760828,0.7257173106031872,0.0,0.7257173106031872,0.7257173106031872
dt,0,1,861,20,0.6944819313240366,0.834035879857464,0.24409843720681595,0.842741935483871,0.6082280292806608,0.6082280292806608,0.6652496967245156,0.0,0.7107661855938865,0.7107661855938865
dt,0,2,1006,13,0.5324831720401447,0.7245750168905857,0.02398940213917973,0.8336231884057971,0.5785256332595117,0.5785256332595117,0.19685314700840112,0.0,0.7964538157421829,0.7964538157421829
dt,0,3,856,15,0.5757320268884585,0.7897974592022505,0.19627627268740805,0.8669755129053607,0.5720481561657362,0.5720481561657362,0.2464637805400772,0.0,0.28893423286111874,0.28893423286111874
dt,0,4,857,20,0.630912923279009,0.8226569262802104,0.2054960551780974,0.8686468646864687,0.6149440210169388,0.6149440210169388,0.37947545178175296,0.0,0.37947545178175296,0.37947545178175296
dt,1,0,871,16,0.5135532682451971,0.7513658012865989,0.16843797769653512,0.8614379084967321,0.5612026512440232,0.5612026512440232,0.23784676956618614,0.0,0.37563021624088216,0.37563021624088216
