Citation,,,Sample,,,Flow,,,,,,,Extra,,,,Outputs,,,,,Info,,,
Article (MLA),Authors,DOI,"Geometry of Sample (Flat, wire, or Cylindrical)","Dimensions of sample (Wire is in diameter, Cylindrical is in length x radius x thickness, Rectangle is in length x width x height, Shperical)",Material of sample,Oxygen Concentration,Pressure,Flow Velocity (Co flow is + and counter flow is -),Rig Name,"Internal geometry (Cylindrical , rectangular)",Internal Dimensions ,Gravity (g/gearth),"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)","Ignition method (Wire, open flame, or Radiative Heater",Ignition power (W),Ignition time (s),Ignition (Yes/No),Flame Length,FSR (Flame Spread Rate),HRR (Heat release rate),Smoke/ Areosols (yes/no),,,,
"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravity. NASA Technical Memorandum X-3055, National Aeronautics and Space Administration, May 1974","Charles R. Andracchio, Thomas H. Cochran",NASA TM X-3055,Flat,63 mm x 63 mm x 0.122 mm,Cellulose acetate sheet; MIL SPEC LP-504,1.000,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,9.000,,,"Orientation=horizontal, T_init=20C",,,
"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravity. NASA Technical Memorandum X-3055, National Aeronautics and Space Administration, May 1974","Charles R. Andracchio, Thomas H. Cochran",NASA TM X-3055,Flat,63 mm x 63 mm x 0.025 mm,Cellulose acetate sheet; MIL SPEC LP-504,1.000,101.400,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,1.00,Drop Tower,Wire,,,Yes,,70.000,,,"Orientation=horizontal, T_init=20C",,,
"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravity. NASA Technical Memorandum X-3055, National Aeronautics and Space Administration, May 1974","Charles R. Andracchio, Thomas H. Cochran",NASA TM X-3055,Flat,63 mm x 63 mm x 0.025 mm,Cellulose acetate sheet; MIL SPEC LP-504,1.000,101.400,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,55.000,,,"Orientation=horizontal, T_init=20C",,,
"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravity. NASA Technical Memorandum X-3055, National Aeronautics and Space Administration, May 1974","Charles R. Andracchio, Thomas H. Cochran",NASA TM X-3055,Flat,63 mm x 63 mm x 0.051 mm,Cellulose acetate sheet; MIL SPEC LP-504,1.000,101.400,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,1.00,Drop Tower,Wire,,,Yes,,32.000,,,"Orientation=horizontal, T_init=20C",,,
"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravity. NASA Technical Memorandum X-3055, National Aeronautics and Space Administration, May 1974","Charles R. Andracchio, Thomas H. Cochran",NASA TM X-3055,Flat,63 mm x 63 mm x 0.051 mm,Cellulose acetate sheet; MIL SPEC LP-504,1.000,101.400,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,20.000,,,"Orientation=horizontal, T_init=20C",,,
"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravity. NASA Technical Memorandum X-3055, National Aeronautics and Space Administration, May 1974","Charles R. Andracchio, Thomas H. Cochran",NASA TM X-3055,Flat,63 mm x 63 mm x 0.122 mm,Cellulose acetate sheet; MIL SPEC LP-504,1.000,101.400,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,1.00,Drop Tower,Wire,,,Yes,,19.000,,,"Orientation=horizontal, T_init=20C",,,
"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravity. NASA Technical Memorandum X-3055, National Aeronautics and Space Administration, May 1974","Charles R. Andracchio, Thomas H. Cochran",NASA TM X-3055,Flat,63 mm x 63 mm x 0.122 mm,Cellulose acetate sheet; MIL SPEC LP-504,1.000,101.400,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,12.000,,,"Orientation=horizontal, T_init=20C",,,
"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravity. NASA Technical Memorandum X-3055, National Aeronautics and Space Administration, May 1974","Charles R. Andracchio, Thomas H. Cochran",NASA TM X-3055,Cylindrical,62 mm x 31.5 mm x 0.025 mm,Cellulose acetate sheet; MIL SPEC LP-504,1.000,6343.000,,NASA Zero Gravity Facility,Hemispherical,396 mm diameter,1.00,Drop Tower,Wire,,,Yes,,102.000,,,"Orientation=vertical, T_init=-118C",,,
"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravity. NASA Technical Memorandum X-3055, National Aeronautics and Space Administration, May 1974","Charles R. Andracchio, Thomas H. Cochran",NASA TM X-3055,Cylindrical,62 mm x 31.5 mm x 0.025 mm,Cellulose acetate sheet; MIL SPEC LP-504,1.000,6343.000,,NASA Zero Gravity Facility,Hemispherical,396 mm diameter,0.00,Drop Tower,Wire,,,Yes,,97.000,,,"Orientation=vertical, T_init=-118C",,,
"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravity. NASA Technical Memorandum X-3055, National Aeronautics and Space Administration, May 1974","Charles R. Andracchio, Thomas H. Cochran",NASA TM X-3055,Cylindrical,62 mm x 31.5 mm x 0.051 mm,Cellulose acetate sheet; MIL SPEC LP-504,1.000,6343.000,,NASA Zero Gravity Facility,Hemispherical,396 mm diameter,1.00,Drop Tower,Wire,,,Yes,,78.000,,,"Orientation=vertical, T_init=-118C",,,
"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravity. NASA Technical Memorandum X-3055, National Aeronautics and Space Administration, May 1974","Charles R. Andracchio, Thomas H. Cochran",NASA TM X-3055,Cylindrical,62 mm x 31.5 mm x 0.051 mm,Cellulose acetate sheet; MIL SPEC LP-504,1.000,6343.000,,NASA Zero Gravity Facility,Hemispherical,396 mm diameter,0.00,Drop Tower,Wire,,,Yes,,49.000,,,"Orientation=vertical, T_init=-118C",,,
"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravity. NASA Technical Memorandum X-3055, National Aeronautics and Space Administration, May 1974","Charles R. Andracchio, Thomas H. Cochran",NASA TM X-3055,Cylindrical,62 mm x 31.5 mm x 0.122 mm,Cellulose acetate sheet; MIL SPEC LP-504,1.000,6343.000,,NASA Zero Gravity Facility,Hemispherical,396 mm diameter,1.00,Drop Tower,Wire,,,Yes,,69.000,,,"Orientation=vertical, T_init=-118C",,,
"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravity. NASA Technical Memorandum X-3055, National Aeronautics and Space Administration, May 1974","Charles R. Andracchio, Thomas H. Cochran",NASA TM X-3055,Cylindrical,62 mm x 31.5 mm x 0.122 mm,Cellulose acetate sheet; MIL SPEC LP-504,1.000,6343.000,,NASA Zero Gravity Facility,Hemispherical,396 mm diameter,0.00,Drop Tower,Wire,,,Yes,,36.000,,,"Orientation=vertical, T_init=-118C",,,
